TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014.00,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015.00,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016.00,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017.00,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018.00,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019.00,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020.00,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021.00,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022.00,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023.00,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,552717177,539778549,518087383,4906820117,657963491,530316859,585593548,559521121,548614669,537733603,557822901,500854973,2201051819,544700741,499768346,#VALUE!,#VALUE!,132249530,185483254,153863607,119554750,188693601,159184093,159981306,121830962,1770366862,134633086,157880861,166001887,148075809,128986966,159561505,126174880,126558623,152299621,133896180,148663104,128118259,1710850781,143620068,161200460,170727132,148035324,166220428,173422796,149473903,123728486,155182111,160991170,184213961,159270420,1896086259,190252305,180027512,222308254,191954764,192101923,200866867,201449026,164439178,173305893,194711285,196361910,151067703,2258846620,187923894,216889360,238722284,258993280,300265805,269776480,285785451,209731210,285604674,257684106,250042769,204713054,2966132367,220055856,205272130,231032604,203100442,178562203,255837065,278810909,169991570,244345461,218246186,269427740,235881759,2710563925,247181529,245158085,282719091,256998744,225382260,260861247,230529666,213012021,256206900,266486390,251585781,237031455,2973153169,224322281,245284053,253255681,242923912,245932303,236946374,247982502,217460580,290458355,251910575,402325451,228020757,3086822824,270599597,258494220,1034235014,813205736,289425183,279631086,422331538,271808739,281931201,1104900528,2169388786,387054446,7583006074,435373389,288845627,332615841,272078416,331600546,362573175,230127409,205853002,274936713,302378815,253168483,#VALUE!,#VALUE!
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,90808385,80821177,154555026,111466073,110062046,139921243,143997834,130598333,126582059,107633258,117616757,127432870,1441495060,99304379,130038966,111530798,134054842,136553192,114585985,138780190,106671592,100299575,119389676,123843602,139303700,1454356496,93977515,69316541,83925806,94603231,85330133,109637707,163342552,135969237,97587253,80164845,118279331,122028262,1254162413,76298022,126849793,170886982,103665699,144454089,174352167,138200948,129858565,185830277,139025096,195034828,176101976,1760558440,120861769,158630512,142504805,90337245,87479799,174275411,166892757,117089993,116972032,125340513,147304992,173137937,1620827767,120449128,137789050,186005522,131196121,96918862,102808261,163279264,108489618,92602685,129304365,144086803,80272518,1493202195,168344537,174636931,108353573,92665092,71872473,143439177,160692763,95633155,89151410,131001322,182677154,139635198,1558102786,179214419,201013499,208560347,127491626,103412864,122777133,88797746,106207113,118025590,202660684,240108973,189706745,1887976741,151774542,118355285,140554765,136328377,177619454,206176647,316166067,206908379,192625928,221688946,143276657,251043957,2262519005,247539185,253569809,174186971,131873544,190117994,169914962,203133917,221809510,238302071,220171774,242186936,201463886,2494270559,222999368,178439592,143778302,124867761,121464208,141306127,228172280,169048619,118540407,134109750,152960251,#VALUE!,#VALUE!
Cyprus,26318927,7869972,28936589,11787715,11541587,26082458,11773585,8754472,16668337,34886767,14388833,9749430,208758672,6981899,10934180,10459158,9962059,22408443,12005488,13581134,10241464,9872785,10565062,19553415,19622524,156187611,18740508,17674821,12130215,12358955,19235836,17133560,18322795,29365889,20002480,22727345,11018869,21794846,220506119,10172747,22114403,15286228,30971114,19073491,13976681,41878963,19778106,14810474,30002197,22029704,28219836,268313944,14341035,11214184,13285425,15596538,27075762,14022192,14472100,12959915,12863790,13685387,15742077,12508141,177766546,23588809,26692912,16282159,27332857,15541521,13407049,25513531,28387716,13988649,15990631,13892303,14555543,235173680,14433151,24028638,19052970,14157592,19053469,28802502,24036282,18581655,27734757,11581864,19124747,26833498,247421125,20433196,36562016,27546486,17278373,20380685,19448076,33378692,40594143,17862561,30573727,15801262,18161271,298020488,18366849,19340679,38847365,19494500,24614321,17771881,19317525,19267382,38876571,46229040,19602195,15614535,297342843,18349191,17273397,23324005,42757055,46261413,20819455,20595845,19838830,17318806,38751177,15201016,16310102,296800292,17474621,18108632,20992196,21215629,21865814,17004098,24353126,15532985,19418358,20554866,17059579,#VALUE!,#VALUE!
Czechia,476905628,490433305,535124987,530160255,497322019,523320069,495613904,414903327,538262076,581423203,496688169,441303370,6021460313,502138554,525832867,597389495,519536491,499068245,568485716,491058099,429757660,545915794,566701452,544496328,459780422,6250161124,530077056,556903933,583706889,564835217,532927074,569979111,432496834,512683529,558896334,565647807,575454191,500070624,6483678597,564924392,556073608,653653508,565378012,607880000,659280198,478422563,548639328,601565316,682970353,612985403,471941124,7003713804,604885992,593603626,630973299,585180476,593001407,642187982,535039377,566528647,554186535,674425172,651603132,469187386,7100803032,638862310,580982005,647086194,636191556,631296950,610789685,597994272,557379970,619224725,678372377,633689150,478020147,7309889342,644199508,613034192,608166891,396012325,466215950,532530027,492574251,511671692,624444895,618857391,628492445,541003788,6677203351,639882493,653743999,734964444,667240824,678217372,764760376,595706047,565480909,659087541,679783504,714226885,642606664,7995701059,739456858,736823776,878304127,789398909,838351822,857693134,731814285,747419004,856127256,886139224,865020026,784589280,9711137700,867859479,821347591,951570050,818628601,876355760,951139466,765394842,779920403,825657339,894064683,859486872,684383036,10095808124,850220873,874865275,842047423,878895264,844973844,828601591,797640855,754139487,871030748,1007870846,946794055,774952471,10272032736
Germany,8208814015,8126152836,8572852699,8525471042,7980706009,8398294117,7613891348,8146702942,8615594585,8821043611,8121909645,7384611002,98516043851,7693898027,8274545323,8692725362,8377351682,7952741560,8522810349,8210205190,7532046206,8587160025,8137763519,8164047414,7470659743,97615954400,8209660436,8338278723,8732875161,8451366251,7623632354,9689449124,7798059841,7879612418,8400219535,7962845114,8602285394,7866677255,99554961606,8285048404,8563218671,10128206455,8553733399,9321133590,9047335204,8271927256,8581655771,8568646786,8704937479,9159277661,8328050378,1.05513E+11,9552089528,8785409627,9551991788,9320860091,8705164879,9807836217,9519208606,8671852285,9402971209,9162335362,9794502621,8295368726,1.1057E+11,9895589035,9646825373,9316954448,9804287924,9963537374,9499844453,9346511086,8315605073,9360258414,9467264181,9353927096,7873115428,1.11844E+11,9155601646,9090353305,9145804793,7089774197,7157753218,8595470068,7778647172,8064394625,8861453354,9264719558,8954530719,8202976997,1.01361E+11,8608006499,8876001948,11032414959,10787787134,10640124842,12077585660,10583207866,10267525878,10885076380,11900103459,11379781709,11092349295,1.2813E+11,11051563015,11476143355,14178409740,11338887714,14196659782,12806797114,13628358188,12354834661,16330481223,13448239508,13127060657,12297832839,1.56235E+11,12536213011,12765215651,13272942573,10979232187,13399981233,12833021085,12990971200,11769196295,11696458374,11890993349,12065254293,10069685069,1.46269E+11,11361857403,11256935942,12035525342,12527573281,11081089974,11322501195,11970029365,10610845804,11457217113,12189028472,10613827744,#VALUE!,#VALUE!
Denmark,269889930,325660320,339046781,355538859,324284362,296028233,263040833,273218340,316062653,336147568,296723776,287768487,3683410144,296374329,284094253,334608001,284937221,275376050,317025413,273968713,316676706,338031688,342257691,343859571,299562612,3706772251,286335789,312216444,339222712,321067631,325504609,381155244,288951545,322958868,396673032,344040093,362248513,353184239,4033558716,338394183,379594815,399462777,300245436,348131807,376341655,310182309,357013429,359852862,376003740,369746938,318340972,4233310925,370517653,347089579,370891957,334649509,351284231,366524828,348178036,335355750,366004889,380005075,380011533,323443141,4273956181,352095111,341505515,393646745,370644296,360831417,367345035,374073184,383284169,443787076,423071879,379406632,344676085,4534367145,404054183,389137393,425788817,295539833,319477296,400514467,331025648,366721922,427618525,387403970,409421263,412598316,4569301635,384947612,400112462,462504770,397206359,374779605,473801443,370579945,442218700,483403547,470435457,461696080,531785901,5253471880,499324953,476526282,629872095,452670354,551665019,512620252,486531941,459876527,553065215,551862202,596724845,491290380,6262030065,493104902,457835277,515007094,440045096,497767611,524327631,415710037,491366531,484413107,532654110,527170593,486645242,5866047232,494704276,499953951,512890483,535210749,522487871,510810692,477439347,484196824,503149848,494516093,559292495,#VALUE!,#VALUE!
Estonia,32624269,38021013,56141667,52905958,66071665,41886972,38966536,42960016,47890299,55496435,40061520,28939720,541966070,33270474,36969380,41604794,34398998,36393466,33707519,31989588,28233003,37933668,36460615,33022628,28134471,412118604,29576129,38008277,41593123,37842165,45540692,45200284,33480547,40420431,41830652,44320553,40868641,38300676,476982170,41956168,38008394,52914125,38720802,46326425,42907556,32179272,36526810,35862938,40805653,49866136,38375447,494449726,48866453,39971179,42450713,40208458,59192700,54344990,42476542,42209938,40805389,53881531,43759397,35067595,543234885,42824286,42258786,62021109,53077967,48451570,56989550,44606646,42901544,48032141,75811364,57997907,40793691,615766561,43423460,46555186,43818309,30063817,30035712,36713929,36905430,39508229,50722827,49278677,52001536,36533230,495560342,35944582,42847468,49135258,58996049,48680943,68985595,49694181,47892800,51871562,68791819,55969866,47922711,626732834,70642699,55538255,69862634,65220496,71675316,64528571,42136799,53066113,101599133,75741882,102797719,61091825,833901442,65402313,57260383,62314747,56913009,68048794,55994853,45603916,62713958,53795349,56459074,53752303,59820182,698078881,46008884,50367540,47659461,62128852,67341953,64592500,41570525,47206136,52517155,73088312,68364256,44127415,664972989
Spain,1244277672,1255633031,1375290416,1168888546,1229478969,1300726580,1160348042,895869574,1350488356,1294449610,1236261991,1343873678,14855586465,1130026005,1188012813,1486146135,1290593812,1323477232,1527735610,1381282144,1002437874,1460947197,1381032271,1473223761,1364803263,16009718117,1277115801,1395054772,1531762979,1490161484,1465595754,1668160831,1466506073,1175670836,1598439128,1522099793,1715986645,1563594374,17870148470,1492844250,1496149902,1834774926,1438788949,1736715124,1724952751,1511065185,1258376273,1647050148,1687571633,1747592554,1606779779,19182661474,1604203689,1484540191,1857905706,1661068375,1720045380,1783849095,1684426461,1315883150,1580329755,1746432000,1693741949,1488118175,19620543926,1500174510,1505900445,1720472292,1604907628,1660581894,1653622914,1550716336,1254146969,1674196788,1842586810,1842040980,1672030137,19481377703,1635577723,1654702346,1623336827,1002424840,1206269377,1506153176,1516922627,1184048040,1653351861,1648462777,1615029680,1765529350,18011808624,1540110576,1708413970,2318011538,2026000335,2164306464,2535683366,2252855013,2087790349,2739770030,2284628605,2607478362,3021919463,27286968071,2723702026,2941330043,3857095414,2729918527,3051939619,2812037095,2276951126,2262560956,4121694783,3529135233,5817778285,3573449850,39697592957,2781563377,3555647530,3788487651,2194550192,2944423924,2291239304,2009187972,1799605934,2231778727,2478637347,2568181463,1998629035,30641932456,2272321938,2270229358,2392394937,2821130189,2292415214,2319942964,2441110034,2072317218,2531837508,2640993814,2493979951,2073931958,28622605083
Finland,299508580,281977940,275272266,315233254,300271516,323409908,291266100,294139907,304473665,306196259,278027058,277165958,3546942411,265087108,273826394,311931197,263036791,254515056,298623303,277793116,255136888,280588958,297352865,277958754,288069264,3343919694,270582787,294788574,305209249,304822009,277737557,314228294,270597057,261860997,293060403,329833333,299121194,342776255,3564617709,299681488,306570081,386260617,327775890,351793272,323125593,288497139,293469794,289253410,352451997,329848852,323107854,3871835987,302801783,331660451,324585121,324708306,333467094,325591439,332377098,341586811,304552391,380040811,386754864,320871660,4008997829,359066192,363479529,411732818,363291232,411944045,324606881,321552669,330348085,357826820,395212642,354862016,313495749,4307418678,349782436,308466307,391635241,277160646,253758927,276879840,251617294,273508542,297395132,301387791,309401070,324973159,3615966385,298962025,339689167,357433686,390793089,364552108,341446883,344406475,349931185,396457839,422942153,428657001,475845640,4511117251,385871693,393426568,484609733,508556664,478397751,468363989,448721734,447693418,461957787,473652046,473218118,520503142,5544972643,451856970,362642322,535476046,453056336,452417261,467531026,412129245,456987236,457759021,430071338,473141927,469697841,5422766569,398677411,440475158,395235787,485071824,412444915,433709310,492213677,418191226,469860066,480185023,531067392,#VALUE!,#VALUE!
France,7475030386,7248434760,7659544436,7539860788,7018698450,7286051138,7546886572,6278737482,8250471045,8398201069,7346896175,7358454239,89407266540,7312472490,7322683113,7995927579,7111442414,6794916615,7920631567,7125329441,6056571682,7692484893,7710576036,7173654199,7204628525,87421318554,6905804285,7245192985,7672505350,7028668429,6872431721,7510770773,6426663650,6317351450,7580265351,7343922266,7604885727,7405147192,85913609179,7390177855,7258068573,8383234697,7250197797,7471919159,7855210788,7067693451,6449544227,7620282944,8012404400,7838735535,7093266999,89690736425,7909756056,7586817865,8310406680,7376263241,7532238056,8216836813,7881714713,6860869794,7690044840,8626892707,8320734857,7218933677,93531509299,7725050198,7613043313,8010255099,7857660252,8225542191,7928679505,8048924459,6466248604,7585810525,8230568865,7528888404,7366551674,92587223089,7687894368,7366950148,6772680929,5020689200,5558771790,7045474195,6672795153,5878212673,7465450120,7537969531,6931188124,6790691561,80728767792,7355145023,7276330691,8790559206,7764446612,7458227141,8862839832,7819504153,7875361268,9326240384,9531279469,10058283481,10349557730,1.02468E+11,10347181315,10105079066,12518477148,10823481520,11004509129,11833966328,10778076664,10960986784,12439978501,11879337560,11857148922,12229365107,1.36778E+11,11874562467,11313001420,13519590258,10779021181,10501900067,11800825108,10821157415,10345824549,10065790071,10500114971,9885040401,9249069122,1.30656E+11,9447255742,9547798135,10675350594,10626398714,10424120337,11529331955,9579670502,8563119520,9126065370,10316464188,9481748679,#VALUE!,#VALUE!
Greece,123055478,117738072,124229610,146395335,130452583,148549539,142290931,117780677,158461001,167695190,142840799,136897419,1656386634,137592706,136139707,164842808,170380157,147145142,179624718,128294106,115819699,151778813,180594571,141060579,137426376,1790699382,134530875,145157563,183930335,154197245,165235969,177997693,150845696,153957019,200598192,153124953,166357612,157590899,1943524051,153737061,189496912,213595629,149547565,195683840,207040387,198754465,167439200,191934040,187835820,153592642,162151925,2170809486,168601601,160328006,179786242,165311413,196771234,213200690,183109635,168303545,157637542,206826820,184595194,143665412,2128137334,171746655,200597184,173580714,167177939,184107545,210771234,209775908,158726741,200276376,201055375,173306278,156115870,2207237819,189724335,196410062,178051298,148333844,145477268,180229001,168408281,147946838,168438356,173935967,161823006,168803260,2027581516,171811888,175069022,219245915,195774393,190474373,293488732,227208442,158980594,245944306,239409684,220480685,219105906,2556993940,256812961,252421657,287922745,313003008,270976375,284305114,278332539,215382554,248339369,253638284,265819056,216847531,3143801193,246835265,226557850,270969787,244093377,292525300,286779530,245416033,213868791,253959278,274295031,271928316,200562942,3027791500,241259254,264182910,264308330,299580914,233450625,245919894,270699068,210824006,259836976,241470370,247671724,199106150,2978310221
Croatia,29319893,29018467,35216229,35934616,37666184,32275306,36749424,28941892,54269752,37710656,35709122,34277826,427089368,31996767,35448392,42173136,47910110,33487396,42804132,42880240,33769096,40210366,40644616,43448443,42816129,477588822,38395798,42202994,43716520,38249066,34502537,38123407,51824184,41039538,43869089,43136297,41334908,46033125,502427463,42584750,45729983,64217389,50653178,53509748,49263076,49378437,96610133,68622592,75191609,63476786,50368760,709606439,44053822,49843281,64314722,56055811,55821873,56599008,52244505,41703094,52068484,74695827,59902782,43160929,650464139,44934011,59078825,57291702,58938624,67325599,47702409,61517721,48871925,55853342,82665300,74967518,55135843,714282822,73795119,108157325,85806488,75123923,65722652,106560060,91949690,64129727,79226653,64690865,83629904,85635252,984427658,61214140,73304655,70303490,68299459,66927493,71149253,63106245,52677330,73029608,78120595,68716452,80581580,827430299,77402587,70204631,92278450,71451932,68981770,75193014,70170723,65710413,76065723,83391966,84733946,85233164,920818319,75500212,76820229,79801119,68773979,85500765,94858509,69738410,70905947,68222782,102165370,80066265,79695961,952049548,69457881,81065975,73543521,73307315,82506956,84145048,82156835,79417435,77525665,80560582,86709403,#VALUE!,#VALUE!
