TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,66245064.00,69911330.00,80728856.00,75879467.00,76192778.00,64737494.00,73436651.00,68191194.00,86002618.00,92693331.00,72242152.00,67769090.00,894030025.00,66881064.00,70555136.00,79388063.00,82217808.00,78816434.00,93052084.00,80523405.00,72083200.00,90327571.00,85639866.00,84439958.00,101357176.00,985281765.00,70088711.00,74046967.00,84876787.00,81446490.00,104762319.00,85253935.00,77503743.00,78214724.00,93284417.00,85329686.00,90922185.00,76362706.00,1002092670.00,72381129.00,79741501.00,92264520.00,82700022.00,95223979.00,89889357.00,88748559.00,83720579.00,96172825.00,98635215.00,95938221.00,81085484.00,1056501391.00,90919627.00,83316492.00,99303798.00,99147997.00,96308729.00,101230201.00,93117461.00,100374807.00,106356126.00,114624052.00,104911580.00,88772897.00,1178383767.00,98425099.00,99123617.00,101449934.00,90154019.00,98649635.00,92988856.00,95314224.00,90348147.00,107744593.00,115269640.00,100829726.00,107031437.00,1197328927.00,95279064.00,88426143.00,103517079.00,92152312.00,89704841.00,94264400.00,92798912.00,77630742.00,100843987.00,113383846.00,93030911.00,95065102.00,1136097339.00,88765083.00,99969638.00,120696391.00,112820423.00,105827415.00,120439095.00,101182723.00,108191590.00,137562109.00,117593690.00,123170540.00,110426543.00,1346645240.00,96626869.00,105503328.00,128281807.00,118347376.00,139211329.00,136601582.00,119311227.00,118614189.00,141144266.00,143532053.00,127251438.00,146807395.00,1521232859.00,124001671.00,112794980.00,123785779.00,106721964.00,119795206.00,105720141.00,88261983.00,96000523.00,106816986.00,122818783.00,106697984.00,101454560.00,1314870560.00,92419594.00,100908948.00,94796869.00,100167571.00,104607238.00,98293304.00,101374720.00,91815825.00,101095602.00,121031235.00,104649376.00,#VALUE!,#VALUE!
Belgium,364981282.00,317483422.00,299095847.00,330096182.00,330617171.00,348550492.00,307250968.00,303484457.00,336751995.00,333068453.00,302376652.00,301259561.00,3875016482.00,325384278.00,301889076.00,309224207.00,301658988.00,367783802.00,351487760.00,374157221.00,333150985.00,334288535.00,397906874.00,352053840.00,377477559.00,4126463125.00,330830545.00,347995893.00,382140302.00,333068915.00,348939348.00,370795970.00,311757869.00,285577982.00,350514404.00,392946935.00,380273671.00,375384969.00,4210226803.00,321926471.00,393445805.00,434800994.00,383541574.00,360321773.00,360134319.00,320935666.00,339289270.00,415982757.00,424736468.00,456283881.00,420257948.00,4631656926.00,377634043.00,401050469.00,431814550.00,400786904.00,387171723.00,432462245.00,383976457.00,373491176.00,369377553.00,487002577.00,450556870.00,493232508.00,4988557075.00,407603172.00,428391525.00,488021991.00,480019624.00,482075077.00,432969897.00,378978060.00,366942939.00,451108713.00,498266079.00,382318722.00,367123881.00,5163819680.00,425169365.00,358018484.00,440926528.00,428325202.00,284815040.00,348021682.00,275377504.00,304757832.00,289505825.00,335158485.00,340265606.00,333041588.00,4163383141.00,305866698.00,356003838.00,383682927.00,395540396.00,333949111.00,368092477.00,342735473.00,354692847.00,430530351.00,421611691.00,441604102.00,476631527.00,4610941438.00,397246495.00,386619737.00,556125830.00,493991874.00,523688792.00,482592029.00,499563514.00,521641307.00,507432800.00,556043557.00,515029549.00,480897680.00,5920873164.00,523945817.00,437728812.00,528977445.00,478120959.00,435782224.00,486764594.00,451491413.00,426423151.00,543574395.00,439899248.00,454083877.00,427347372.00,5634139307.00,461953908.00,441624818.00,400323552.00,505392404.00,397208325.00,446638812.00,484411920.00,428762285.00,551727346.00,505223196.00,548431200.00,#VALUE!,#VALUE!
Bulgaria,4816527.00,8853228.00,7596847.00,7256020.00,7407579.00,6538615.00,21940776.00,11659934.00,13968190.00,13534830.00,14007352.00,7554074.00,125133973.00,5293927.00,6261550.00,6966649.00,13601196.00,12317047.00,7962038.00,7884562.00,15023284.00,11610923.00,16814941.00,8458985.00,8388395.00,120583498.00,7983695.00,7833445.00,13719038.00,10021670.00,7262463.00,7171993.00,7930023.00,9178434.00,9627739.00,7940591.00,10902671.00,9294354.00,108866116.00,6425118.00,6500602.00,9053325.00,7241429.00,8782159.00,7864379.00,9594597.00,9909414.00,11124165.00,11399505.00,13112472.00,7322570.00,108329736.00,11311933.00,10800035.00,10918374.00,7835747.00,9136509.00,9760887.00,10502651.00,10035996.00,14756537.00,17240022.00,16068364.00,12614458.00,140981514.00,9976851.00,9884176.00,12645665.00,12750289.00,11869213.00,10362327.00,9212084.00,9851626.00,12131139.00,11933792.00,11979972.00,9461547.00,132058681.00,12184518.00,9356715.00,13603892.00,11437018.00,16347701.00,12501448.00,11419001.00,9209350.00,12794819.00,11747098.00,13818394.00,10500246.00,144920201.00,10836966.00,11454498.00,14749583.00,13480129.00,12265567.00,12684258.00,15195946.00,11507956.00,13219077.00,14641802.00,16336118.00,16159311.00,162531210.00,17973789.00,15205867.00,17446970.00,17644890.00,17208850.00,20021584.00,15649240.00,18959913.00,24915904.00,22267333.00,20091531.00,16484690.00,223870561.00,22750362.00,19280266.00,17689390.00,18288043.00,23522150.00,15104266.00,13009308.00,20896015.00,19036364.00,20774562.00,20502088.00,13379996.00,224232809.00,16134410.00,17389281.00,15334836.00,18612033.00,16122670.00,19705506.00,17860398.00,15201641.00,16427149.00,18478429.00,19200307.00,#VALUE!,#VALUE!
Cyprus,2344962.00,914924.00,1758716.00,1354282.00,1323799.00,1194399.00,1228949.00,1048209.00,1471086.00,1569886.00,1584366.00,1426293.00,17219871.00,1309875.00,1074460.00,1476200.00,1321565.00,1726339.00,995172.00,1608342.00,1282366.00,1452976.00,1212226.00,1565196.00,1298470.00,16323187.00,1051287.00,3906796.00,1564741.00,1355891.00,1734576.00,30516234.00,1422849.00,692813.00,1038895.00,1684705.00,1745333.00,4714521.00,51428641.00,1319418.00,898718.00,2157539.00,1751998.00,1430041.00,2693295.00,1051312.00,1800727.00,1237413.00,1493232.00,892660.00,1006186.00,17732539.00,6546572.00,2313117.00,2875733.00,1602826.00,1844539.00,3355000.00,3016339.00,1125101.00,1025011.00,3697013.00,2177234.00,1180486.00,30758971.00,4227609.00,1532378.00,1936156.00,3848189.00,2142394.00,1530887.00,1106645.00,19977989.00,1585850.00,2257276.00,1305681.00,2073477.00,43524531.00,2097978.00,1464161.00,1863632.00,4111042.00,2600054.00,2817426.00,1888952.00,1642318.00,1646209.00,1624195.00,2007392.00,2069898.00,25833257.00,1185415.00,1231013.00,1795207.00,1593927.00,1340328.00,4086906.00,2223356.00,1392404.00,2528858.00,1370582.00,3367672.00,2183381.00,24299049.00,1650919.00,1902273.00,2614212.00,2368308.00,2899857.00,4975644.00,2198495.00,2377518.00,3115280.00,2530107.00,11166153.00,1858852.00,39657618.00,2366075.00,2189407.00,2674151.00,2470568.00,3651880.00,2921958.00,2166950.00,2070543.00,1879985.00,1981348.00,2017116.00,2196988.00,28586969.00,2872580.00,4470095.00,2366995.00,4247002.00,2382187.00,2757657.00,2173329.00,1797709.00,2679875.00,6097543.00,2199503.00,#VALUE!,#VALUE!
Czechia,83306223.00,78308056.00,81872880.00,89412362.00,79652086.00,87813950.00,84752949.00,71174106.00,92581814.00,96252707.00,99017541.00,79634159.00,1023778834.00,86739805.00,82284495.00,97467086.00,87889518.00,80108690.00,88628080.00,89681197.00,79358906.00,98147648.00,108393521.00,100135874.00,86600388.00,1085435207.00,97807364.00,94957718.00,96486039.00,89978739.00,91207205.00,108923395.00,65167780.00,80158403.00,90422827.00,88299768.00,91444387.00,92412829.00,1087266456.00,92060066.00,96893369.00,106726560.00,93186342.00,105836922.00,118285171.00,88500698.00,112271748.00,118578952.00,123019443.00,129219724.00,104312303.00,1288891300.00,119355124.00,105224111.00,118083847.00,120769465.00,127095458.00,121948321.00,85394323.00,102591314.00,112445536.00,130880782.00,143958405.00,104657358.00,1392404046.00,117734777.00,105312454.00,114333959.00,116921651.00,127803077.00,100846511.00,94957992.00,108273587.00,122177650.00,125839993.00,126041983.00,91039913.00,1351283545.00,105771090.00,103589288.00,109955829.00,80934911.00,97155945.00,115895422.00,88266207.00,89915306.00,119142865.00,120320225.00,130697385.00,100357398.00,1262001870.00,110130354.00,112752697.00,145762452.00,128472464.00,121533823.00,136891727.00,112273349.00,114270914.00,136954064.00,131706004.00,145819256.00,115989423.00,1512556529.00,133108120.00,129797139.00,155734056.00,145452332.00,151799848.00,156001335.00,145495197.00,139163525.00,165994031.00,148612169.00,153178774.00,120448765.00,1744785292.00,151698770.00,142856502.00,167832132.00,147513823.00,145614828.00,147704453.00,112654646.00,134742263.00,147139793.00,167449289.00,151148074.00,109992791.00,1726347364.00,142922319.00,126606245.00,126594818.00,136438820.00,137540519.00,132191765.00,123312195.00,134617374.00,146319914.00,144708680.00,140675254.00,102311870.00,1594239770.00
Germany,1256599255.00,1279708419.00,1295096877.00,1266784212.00,1298603771.00,1259801518.00,1323057025.00,1204447682.00,1417886339.00,1446483831.00,1387170536.00,1245651527.00,15681290992.00,1262455857.00,1319399032.00,1510649264.00,1458881974.00,1350105459.00,1529569977.00,1417929826.00,1289569107.00,2022922192.00,1476014885.00,1476694928.00,1264061179.00,17378253680.00,1259531781.00,1438134306.00,1391406684.00,1388973857.00,1359781904.00,1437338234.00,1256899271.00,1226917144.00,2016228298.00,1474470131.00,1468448288.00,1300852458.00,17018982356.00,1377358234.00,1523391786.00,1620274469.00,1543793428.00,1571965122.00,1545054121.00,1442783461.00,2060527663.00,1600194895.00,1588324731.00,1680245765.00,1440659526.00,18994573201.00,1503872127.00,1485579862.00,1665281229.00,1590660142.00,1611936827.00,1603026416.00,2094750707.00,1498603292.00,1533255081.00,1702176342.00,1577821045.00,1525521432.00,19392484502.00,1585131959.00,1550446400.00,2227495961.00,1668384275.00,1732922616.00,1592214803.00,1499231925.00,1548844120.00,1684102298.00,1712545536.00,1558001653.00,1347287405.00,19706608951.00,1500450680.00,1529410231.00,1634406150.00,1204583390.00,1175968255.00,1389166807.00,1416701064.00,1398836047.00,1532331402.00,1527258180.00,1585725926.00,1401548977.00,17296387109.00,1363834222.00,1580401816.00,1755738667.00,1557942740.00,1655535241.00,1728768540.00,1646073150.00,1529038060.00,1722406055.00,1799292660.00,1895634739.00,1782971460.00,20017637350.00,1639646380.00,1705311679.00,2051476904.00,1891853795.00,1948971183.00,1972905704.00,1732389492.00,1908010047.00,2008926973.00,1821855667.00,2000304134.00,1566525275.00,22248177233.00,1692265622.00,1571262037.00,2074884228.00,1776206593.00,1791828154.00,1757642895.00,1505749826.00,1617510070.00,1693767696.00,1680319332.00,1802501952.00,1441851571.00,20405789976.00,1701329044.00,1581964285.00,1463874754.00,1727914537.00,1598310657.00,2204119832.00,1580446235.00,1614722445.00,1640762059.00,1717034398.00,1512475908.00,#VALUE!,#VALUE!
Denmark,315086958.00,244552609.00,264338387.00,306559251.00,283209048.00,265561620.00,289830575.00,238115625.00,273982806.00,323038863.00,254139744.00,267164285.00,3325579774.00,291630493.00,277590391.00,334792716.00,284593601.00,238543688.00,254639861.00,222365387.00,262988605.00,252511113.00,290801238.00,283720606.00,219873509.00,3214051209.00,254408003.00,266214542.00,259225880.00,248553078.00,248837405.00,282890914.00,211245250.00,222800441.00,269007673.00,235165715.00,247195047.00,217062733.00,2962606682.00,287109849.00,249505909.00,279602169.00,240129783.00,259237708.00,285945095.00,252964852.00,282675031.00,286599510.00,252309249.00,251348252.00,264872493.00,3192299899.00,269321275.00,251120508.00,260502866.00,241888790.00,299445030.00,269788522.00,217675544.00,330556046.00,252894003.00,319359182.00,283431576.00,219678707.00,3215662049.00,261731769.00,269157770.00,250679678.00,289114283.00,277673927.00,248393630.00,230006670.00,257612084.00,248012628.00,247706338.00,287891786.00,223764734.00,3091745296.00,259362523.00,231628467.00,282073395.00,237590342.00,227034233.00,269181523.00,233358050.00,255807021.00,258181544.00,266158660.00,269485448.00,250030090.00,3039891296.00,242072752.00,286420786.00,364659694.00,290505693.00,274279819.00,336636244.00,284043148.00,286493855.00,355392003.00,334173236.00,328467760.00,302175714.00,3685320703.00,314566580.00,353965489.00,507357985.00,341996859.00,321621852.00,347234894.00,292025669.00,341744024.00,354518880.00,336458001.00,361234076.00,281329960.00,4154054268.00,373859066.00,307325503.00,430490690.00,320383804.00,353266313.00,336960047.00,251199375.00,301414186.00,295847187.00,311863901.00,307287019.00,277490891.00,3867387980.00,323059654.00,306621662.00,284497598.00,388199253.00,324112059.00,312532006.00,291886894.00,317257571.00,382466270.00,324534628.00,330861643.00,#VALUE!,#VALUE!
Estonia,310370476.00,293362203.00,328618681.00,347371658.00,339750039.00,327902187.00,306977047.00,312986794.00,360995999.00,354175225.00,324606030.00,301161823.00,3908278162.00,267970975.00,271610530.00,326668929.00,327974692.00,304592670.00,324545333.00,304956278.00,291499590.00,324915588.00,338061170.00,320872321.00,307998924.00,3711667000.00,268379505.00,278079442.00,344429608.00,326003369.00,316814367.00,311481839.00,281758728.00,309365164.00,322066341.00,310806346.00,323922644.00,278986118.00,3672093471.00,507375524.00,291482090.00,364884386.00,316461795.00,350062329.00,325750164.00,292775932.00,339515017.00,342173701.00,358312665.00,348350013.00,313925218.00,4151068834.00,336375173.00,332358095.00,340347613.00,392826761.00,382528307.00,369245365.00,353138497.00,361513731.00,364911877.00,406582579.00,398093950.00,333185197.00,4371107145.00,345070222.00,327722504.00,377100668.00,361986324.00,390797475.00,356655098.00,367564186.00,364855683.00,376336562.00,399506664.00,364483842.00,331526646.00,4363605874.00,335612778.00,350540686.00,379907850.00,342871247.00,334847388.00,342796782.00,336191389.00,328114077.00,368971447.00,389282337.00,386654053.00,364765477.00,4260555511.00,318490235.00,359227177.00,422457202.00,411806330.00,409319118.00,438604746.00,420510882.00,455395995.00,533152119.00,535027774.00,562839486.00,537036754.00,5403867818.00,561235845.00,495126892.00,634869291.00,593499009.00,630491234.00,658487731.00,617032413.00,738981428.00,711744551.00,644135044.00,686569966.00,948556388.00,7920729792.00,568088549.00,563633939.00,617614682.00,489540867.00,553373838.00,528729756.00,435621149.00,548278454.00,538661465.00,522199683.00,508985435.00,424959320.00,6299687137.00,455808466.00,390482646.00,395887960.00,472642406.00,486223334.00,448456679.00,410655979.00,487876650.00,480049082.00,528999696.00,473404237.00,429279742.00,5459766877.00
Spain,130276967.00,152747265.00,151506362.00,145928750.00,158292883.00,148520572.00,149741073.00,107599290.00,176883549.00,163897108.00,164827233.00,180616278.00,1830837330.00,135298102.00,166725128.00,185857615.00,159765537.00,164025369.00,168295652.00,167332693.00,143747918.00,172056409.00,168334877.00,170471335.00,196556360.00,1998466995.00,156374207.00,153578283.00,188378900.00,176447913.00,199555892.00,258029048.00,193287522.00,138671944.00,183722273.00,163011513.00,180738483.00,185970616.00,2177766594.00,165239044.00,179243496.00,223098305.00,144935176.00,199712940.00,187550504.00,158184863.00,147301946.00,172280897.00,174057243.00,181447548.00,172241491.00,2105293453.00,191241473.00,210290575.00,209222845.00,179007003.00,189191911.00,190259428.00,174422302.00,146181330.00,204348567.00,184357083.00,188387589.00,171353257.00,2238263363.00,211628386.00,189062194.00,201384327.00,186662359.00,195749678.00,181133586.00,201263860.00,156918240.00,203362384.00,199960807.00,172178883.00,232436364.00,2331741068.00,220232087.00,183797964.00,300035593.00,171576729.00,157815037.00,181826264.00,172478734.00,126856342.00,172472306.00,187957196.00,184572563.00,243986027.00,2303606842.00,197816508.00,193577882.00,267467362.00,200945209.00,209289823.00,198828241.00,197963626.00,147592592.00,228919958.00,181951705.00,238783813.00,214751922.00,2477888641.00,183234847.00,197458152.00,248490098.00,243220589.00,269082925.00,305656452.00,258699212.00,201987208.00,283796025.00,249463915.00,273291846.00,300431767.00,3014813036.00,260249781.00,214330550.00,254014017.00,220911320.00,239097149.00,269726497.00,205426568.00,168297582.00,217932953.00,185884104.00,264676637.00,189592268.00,2690139426.00,193474985.00,233518478.00,199194388.00,215298312.00,244392462.00,238383123.00,242535107.00,207100276.00,302566185.00,261285327.00,297854002.00,274555480.00,2910158125.00
Finland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
France,267934618.00,259096050.00,282995036.00,295008511.00,287088157.00,289812659.00,272205082.00,213357921.00,328472134.00,300395466.00,259875846.00,267525250.00,3323766730.00,277645682.00,278473479.00,316008717.00,292481596.00,272050742.00,308395396.00,280233848.00,219385531.00,288555533.00,421432517.00,275379352.00,560501732.00,3790544125.00,247352060.00,270207678.00,441562100.00,411663229.00,317638064.00,441131090.00,238350567.00,238250854.00,426265203.00,294397242.00,281512732.00,261676845.00,3870007664.00,266416915.00,285938908.00,486987432.00,254323977.00,284475838.00,576280088.00,311838945.00,242393538.00,425671975.00,355740772.00,336729827.00,289276394.00,4116074609.00,322207062.00,307165691.00,346007648.00,308611262.00,299242823.00,327125785.00,269480728.00,281141952.00,308510019.00,361805205.00,331150004.00,445234583.00,3907682762.00,327029512.00,511912634.00,324211000.00,517114892.00,343607754.00,339880830.00,296280030.00,252025988.00,310973009.00,347163763.00,301353886.00,296547891.00,4168101189.00,308759180.00,473755518.00,298807057.00,229581278.00,260282198.00,284965567.00,277547657.00,248232639.00,491139875.00,315767959.00,302415940.00,291166369.00,3782421237.00,284981996.00,311601694.00,331396223.00,326388394.00,308804240.00,335722346.00,292791038.00,261882661.00,370239344.00,335811396.00,402783727.00,531382664.00,4093785723.00,351165414.00,336669559.00,373047334.00,367213524.00,386228754.00,419929772.00,365504500.00,364970033.00,404203654.00,396509258.00,364520823.00,386262560.00,4516225185.00,428036036.00,334163187.00,510608259.00,392055262.00,430557759.00,419974470.00,332456436.00,300391146.00,395695738.00,353293703.00,345059992.00,326095627.00,4568387615.00,342294755.00,337406078.00,338382462.00,358619367.00,374446461.00,386339423.00,354205971.00,303017140.00,367264006.00,374242996.00,326618365.00,#VALUE!,#VALUE!
Greece,14339324.00,25773124.00,22225699.00,24557526.00,22159709.00,24257954.00,21486289.00,20856652.00,16104653.00,34785059.00,30463048.00,24717613.00,281726650.00,35214181.00,27519444.00,17059519.00,33370412.00,15068443.00,24291778.00,29572174.00,11009401.00,22588154.00,18242049.00,24048892.00,33565233.00,291549680.00,25742346.00,22811993.00,25459479.00,25439791.00,20676153.00,25170734.00,17722858.00,21687393.00,20606798.00,21224469.00,19996762.00,29101610.00,275640386.00,20344906.00,23956842.00,23274395.00,16953995.00,29898824.00,28721979.00,25570685.00,20812345.00,22123876.00,25314009.00,25021382.00,26682326.00,288675564.00,28121870.00,25020722.00,27387933.00,25939887.00,30660152.00,29784685.00,26406155.00,26540188.00,28811873.00,22260624.00,37004668.00,29075270.00,337014027.00,18513774.00,31990158.00,29172425.00,27881977.00,29461853.00,20716493.00,30533504.00,24329824.00,23629082.00,27455798.00,34511626.00,30553727.00,328750241.00,18924866.00,16715526.00,16866292.00,24455734.00,24463466.00,19701835.00,17089785.00,23284304.00,23938637.00,33912221.00,17969426.00,24726055.00,262048147.00,24212131.00,34217581.00,24297313.00,32251069.00,26138034.00,26750755.00,36887596.00,27843646.00,26819136.00,34119966.00,24269142.00,31669782.00,349476151.00,43334130.00,46341601.00,29179072.00,27843271.00,45327771.00,56178351.00,32927875.00,25023677.00,29425706.00,31558900.00,26911047.00,34032242.00,428083643.00,33403430.00,29784237.00,43819385.00,29059748.00,31803572.00,36827004.00,22688573.00,21659063.00,27689539.00,30344137.00,27611915.00,26666239.00,361356842.00,29294339.00,29091122.00,29677783.00,30262706.00,32404038.00,37125505.00,39339144.00,24176706.00,38842277.00,29290249.00,28686265.00,24848839.00,373038973.00
Croatia,3526887.00,2220754.00,2765339.00,4207824.00,4201496.00,4204223.00,5310448.00,6026519.00,10455334.00,3381244.00,3807969.00,4172101.00,54280139.00,2486983.00,2211996.00,2967062.00,4194360.00,4706237.00,10348866.00,3865311.00,4499915.00,2942896.00,4558934.00,3324762.00,3329454.00,49436776.00,2020900.00,2478533.00,3915910.00,3350679.00,6725697.00,4718061.00,4506753.00,3873735.00,5145768.00,5778747.00,5642478.00,7408582.00,55565843.00,3643900.00,4923862.00,6568613.00,5274656.00,6875136.00,7342678.00,5749561.00,5602449.00,5166630.00,5930013.00,5195059.00,4036329.00,66308886.00,4524587.00,3144462.00,4076280.00,5022651.00,3559754.00,3779217.00,35517025.00,8283469.00,6013536.00,4673718.00,3713362.00,3391105.00,85699166.00,3115942.00,4351221.00,5648098.00,6798644.00,6918978.00,4752623.00,8023133.00,4552092.00,6919155.00,7604307.00,6014456.00,4573555.00,69272204.00,3005939.00,4549273.00,5353059.00,4579686.00,4669171.00,9029113.00,4696926.00,4776702.00,4513512.00,6609515.00,5364921.00,6196729.00,63344542.00,4404714.00,4626058.00,6510490.00,5875098.00,6641512.00,9010523.00,8404637.00,5334530.00,6246550.00,6978966.00,5568115.00,9150885.00,78752079.00,7476225.00,6595455.00,9640138.00,6186675.00,12572531.00,10514372.00,9885108.00,10308703.00,9306911.00,10418987.00,7701532.00,7600892.00,108207528.00,11176377.00,6979145.00,13007033.00,6861669.00,10082617.00,8112371.00,7227980.00,7546046.00,10959334.00,10175562.00,14875398.00,9098620.00,116102152.00,10125636.00,8799001.00,10011915.00,10369579.00,12982128.00,8106865.00,9125786.00,6548846.00,8501078.00,10381717.00,10590250.00,#VALUE!,#VALUE!
